Players,Joined,Left,Countries,Team
HyDra,Oct 2020,,France,New_York_Subliners
KiSMET,May 2022,,United States,New_York_Subliners
Skyz,Jun 2023,,United States,New_York_Subliners
Sib,Aug 2023,,United States,New_York_Subliners
Priestahh,Oct 2022,Jul 2023,United States,New_York_Subliners
Skyz,Oct 2022,Jun 2023,United States,New_York_Subliners
WarDy,Oct 2022,Jun 2023,England,New_York_Subliners
PaulEhx,Mar 2022,Oct 2022,United States,New_York_Subliners
Clayster,Sep 2020,Aug 2022,United States,New_York_Subliners
Crimsix,Oct 2021,Aug 2022,United States,New_York_Subliners
Neptune,Oct 2021,May 2022,United States,New_York_Subliners
Royalty,Feb 2022,Mar 2022,Canada,New_York_Subliners
Mack,Mar 2020,Sep 2021,United States,New_York_Subliners
Asim,Jan 2021,Sep 2021,Canada,New_York_Subliners
Diamondcon,May 2021,Aug 2021,Canada,New_York_Subliners
Decemate,Jun 2021,Jun 2021,United States,New_York_Subliners
Diamondcon,Jan 2021,May 2021,Canada,New_York_Subliners
ZooMaa,Sep 2019,Jan 2021,United States,New_York_Subliners
Attach,Sep 2019,Sep 2020,United States,New_York_Subliners
Censor,Oct 2019,Sep 2020,United States,New_York_Subliners
Accuracy,Sep 2019,Sep 2020,United States,New_York_Subliners
Happy,Nov 2019,Sep 2020,United States,New_York_Subliners
Temp,Sep 2019,Sep 2020,United States,New_York_Subliners
Zer0,Sep 2019,May 2020,England,New_York_Subliners
aBeZy,Jun 2023,,United States,Atlanta_FaZe
Cellium,Jun 2023,,United States,Atlanta_FaZe
Simp,Jun 2023,,United States,Atlanta_FaZe
Drazah,Jul 2023,,United States,Atlanta_FaZe
Classic,Oct 2022,Jun 2023,United States,Atlanta_FaZe
aBeZy,Oct 2019,Jun 2023,United States,Atlanta_FaZe
Cellium,Oct 2019,Jun 2023,United States,Atlanta_FaZe
Simp,Oct 2019,Jun 2023,United States,Atlanta_FaZe
SlasheR,Aug 2022,Aug 2022,United States,Atlanta_FaZe
Prestinni,Nov 2021,Aug 2022,United States,Atlanta_FaZe
Arcitys,Sep 2020,Sep 2021,United States,Atlanta_FaZe
Sib,Nov 2020,Oct 2020,United States,Atlanta_FaZe
JurNii,Jan 2020,Oct 2020,Spain,Atlanta_FaZe
GRVTY,Jan 2020,Sep 2020,United States,Atlanta_FaZe
MajorManiak,Oct 2019,Sep 2020,United States,Atlanta_FaZe
Priestahh,Oct 2019,Jan 2020,United States,Atlanta_FaZe
GRVTY,Dec 2019,Jan 2020,United States,Atlanta_FaZe
JurNii,Dec 2019,,Spain,Atlanta_FaZe
Snoopy,Jun 2023,,United States,Boston_Breach
Cammy,Jul 2024,,Mexico,Boston_Breach
Owakening,Jul 2024,,Scotland,Boston_Breach
Purj,Jul 2024,,United States,Boston_Breach
MajorManiak,May 2024,Jul 2024,United States,Boston_Breach
Beans,Apr 2024,Jul 2024,United States,Boston_Breach
Pentagrxm,Dec 2023,Jul 2024,England,Boston_Breach
Priestahh,Jul 2023,Jul 2024,United States,Boston_Breach
Asim,Feb 2024,Mar 2024,United States,Boston_Breach
SlasheR,Jul 2023,Mar 2024,Canada,Boston_Breach
Capsidal,Jul 2023,Feb 2024,United States,Boston_Breach
Beans,Sep 2022,Nov 2023,United States,Boston_Breach
Kremp,Apr 2023,Jul 2023,England,Boston_Breach
Owakening,Sep 2022,Jun 2023,United States,Boston_Breach
Vivid,Jun 2022,Jun 2023,United States,Boston_Breach
Nero,Jan 2022,Jun 2023,United States,Boston_Breach
Methodz,Jan 2022,Feb 2023,United States,Boston_Breach
Capsidal,Jan 2022,Aug 2022,United States,Boston_Breach
TJHaLy,Jan 2022,Aug 2022,United States,Boston_Breach
Gwinn,Nov 2023,,United States,Carolina_Royal_Ravens
FeLo,Jan 2024,,United States,Carolina_Royal_Ravens
TJHaLy,Feb 2024,,United States,Carolina_Royal_Ravens
Beans,Jul 2024,,England,Carolina_Royal_Ravens
Clayster,Nov 2023,Jul 2024,United States,Carolina_Royal_Ravens
TJHaLy,Jan 2024,Feb 2024,United States,Carolina_Royal_Ravens
ReeaL,Nov 2023,Feb 2024,Spain,Carolina_Royal_Ravens
GodRx,Nov 2023,Jan 2024,United States,Carolina_Royal_Ravens
Attach,Nov 2023,,United States,Las_Vegas_Legion
Nero,Nov 2023,,United States,Las_Vegas_Legion
Gio,Feb 2024,,United States,Las_Vegas_Legion
Fame,Jul 2024,,United States,Las_Vegas_Legion
oJohnny,May 2024,Jul 2024,United States,Las_Vegas_Legion
Asim,Apr 2024,May 2024,Canada,Las_Vegas_Legion
Purj,Nov 2023,Apr 2024,United States,Las_Vegas_Legion
Standy,Nov 2023,Feb 2024,United States,Las_Vegas_Legion
TJHaLy,Oct 2022,Jun 2023,United States,Las_Vegas_Legion
Temp,Sep 2022,Jun 2023,United States,Las_Vegas_Legion
Standy,Mar 2023,Jun 2023,United States,Las_Vegas_Legion
Clayster,Oct 2022,Jun 2023,United States,Las_Vegas_Legion
2ReaL,Feb 2023,Mar 2023,United States,Las_Vegas_Legion
Prolute,Oct 2022,Feb 2023,United States,Las_Vegas_Legion
Flames,Dec 2023,,United States,Los_Angeles_Guerrillas
Assault,Nov 2023,,United States,Los_Angeles_Guerrillas
Fame,Nov 2023,,United States,Los_Angeles_Guerrillas
Diamondcon,Nov 2023,,Canada,Los_Angeles_Guerrillas
Estreal,Nov 2023,Jul 2024,United States,Los_Angeles_Guerrillas
Arcitys,Aug 2022,Jul 2024,United States,Los_Angeles_Guerrillas
Spart,Dec 2021,Jul 2024,United States,Los_Angeles_Guerrillas
Assault,Jan 2023,Oct 2023,United States,Los_Angeles_Guerrillas
Exceed,Jan 2023,Oct 2023,United States,Los_Angeles_Guerrillas
JoeDeceives,Jan 2023,Jun 2023,United States,Los_Angeles_Guerrillas
Neptune,Jun 2022,Jun 2023,United States,Los_Angeles_Guerrillas
Huke,Sep 2021,Jun 2023,United States,Los_Angeles_Guerrillas
Asim,Sep 2021,Mar 2023,Canada,Los_Angeles_Guerrillas
SlasheR,Sep 2021,Jan 2023,United States,Los_Angeles_Guerrillas
Gunless,Sep 2021,Sep 2022,Canada,Los_Angeles_Guerrillas
Cheen,Jun 2021,Aug 2022,United States,Los_Angeles_Guerrillas
Apathy,Oct 2020,Aug 2022,United States,Los_Angeles_Guerrillas
Assault,Oct 2020,Aug 2021,United States,Los_Angeles_Guerrillas
MentaL,Oct 2020,Aug 2021,United States,Los_Angeles_Guerrillas
SiLLY,Oct 2020,Aug 2021,United States,Los_Angeles_Guerrillas
Cheen,Oct 2020,Aug 2021,United States,Los_Angeles_Guerrillas
Vivid,Feb 2020,Aug 2021,United States,Los_Angeles_Guerrillas
Spart,Feb 2020,Jun 2021,United States,Los_Angeles_Guerrillas
Blazt,Dec 2019,May 2021,United States,Los_Angeles_Guerrillas
Lacefield,Nov 2019,Sep 2020,United States,Los_Angeles_Guerrillas
Saints,Nov 2019,Sep 2020,United States,Los_Angeles_Guerrillas
Decemate,Nov 2019,Sep 2020,United States,Los_Angeles_Guerrillas
AquA,Oct 2019,Sep 2020,United States,Los_Angeles_Guerrillas
Ricky,Jan 2020,Sep 2020,United States,Los_Angeles_Guerrillas
ACHES,Oct 2019,Sep 2020,United States,Los_Angeles_Guerrillas
Ghosty,Sep 2023,,United States,Los_Angeles_Thieves
JoeDeceives,Sep 2023,,United States,Los_Angeles_Thieves
Kremp,Feb 2024,,United States,Los_Angeles_Thieves
Nastie,Feb 2024,,England,Los_Angeles_Thieves
Afro,Sep 2023,Feb 2024,England,Los_Angeles_Thieves
Cammy,Sep 2023,Jul 2023,Scotland,Los_Angeles_Thieves
Kenny,Nov 2020,Jul 2023,United States,Los_Angeles_Thieves
Drazah,Nov 2020,Jul 2023,United States,Los_Angeles_Thieves
Envoy,Sep 2021,Jun 2023,United States,Los_Angeles_Thieves
Octane,Sep 2021,Feb 2023,United States,Los_Angeles_Thieves
Capsidal,Jan 2023,Aug 2022,United States,Los_Angeles_Thieves
Pentagrxm,Jan 2022,Sep 2021,United States,Los_Angeles_Thieves
Huke,May 2021,Sep 2021,United States,Los_Angeles_Thieves
John,Jun 2021,Sep 2021,United States,Los_Angeles_Thieves
Venom,Mar 2021,Sep 2021,United States,Los_Angeles_Thieves
SlasheR,Nov 2020,Aug 2021,United States,Los_Angeles_Thieves
TJHaLy,Nov 2020,Apr 2021,United States,Los_Angeles_Thieves
Temp,Dec 2020,,United States,Los_Angeles_Thieves
Lucky,Aug 2023,,United States,Miami_Heretics
MettalZ,Aug 2023,,Spain,Miami_Heretics
Vikul,Aug 2023,,Spain,Miami_Heretics
ReeaL,Feb 2024,,Spain,Miami_Heretics
EriKBooM,Aug 2023,Jun 2024,Spain,Miami_Heretics
Purj,May 2024,Mar 2024,Spain,Miami_Heretics
JurNii,Aug 2023,,United States,Miami_Heretics
Accuracy,Aug 2023,,United States,Minnesota_RØKKR
Lynz,Aug 2023,,France,Minnesota_RØKKR
Diamondcon,Jul 2024,,Canada,Minnesota_RØKKR
Estreal,Jul 2024,,United States,Minnesota_RØKKR
Gunless,Apr 2024,Jul 2024,Canada,Minnesota_RØKKR
Standy,Apr 2024,Jul 2024,United States,Minnesota_RØKKR
Spart,Jun 2024,Jun 2024,United States,Minnesota_RØKKR
Owakening,Aug 2023,May 2024,United States,Minnesota_RØKKR
Vivid,Aug 2023,Apr 2024,United States,Minnesota_RØKKR
Afro,Aug 2022,Jun 2023,England,Minnesota_RØKKR
Attach,Aug 2022,Jun 2023,United States,Minnesota_RØKKR
Bance,Aug 2022,Jun 2023,England,Minnesota_RØKKR
Cammy,Aug 2022,Jun 2023,Scotland,Minnesota_RØKKR
Fame,Jul 2022,Jun 2023,United States,Minnesota_RØKKR
Havok,Apr 2022,Aug 2022,United States,Minnesota_RØKKR
Standy,Mar 2021,Aug 2022,United States,Minnesota_RØKKR
Attach,Sep 2020,Aug 2022,United States,Minnesota_RØKKR
Priestahh,Sep 2020,Aug 2022,United States,Minnesota_RØKKR
MajorManiak,Sep 2020,Jun 2022,United States,Minnesota_RØKKR
Saintt,Jan 2021,Sep 2021,United States,Minnesota_RØKKR
Accuracy,Sep 2020,Sep 2021,United States,Minnesota_RØKKR
Asim,Oct 2019,Sep 2020,Canada,Minnesota_RØKKR
Exceed,Oct 2019,Sep 2020,United States,Minnesota_RØKKR
TTinyy,Oct 2019,Sep 2020,United States,Minnesota_RØKKR
Alexx,Oct 2019,Sep 2020,England,Minnesota_RØKKR
Assault,Sep 2019,Sep 2020,United States,Minnesota_RØKKR
GodRx,Sep 2019,Sep 2020,United States,Minnesota_RØKKR
SiLLY,Sep 2019,Sep 2020,United States,Minnesota_RØKKR
Dashy,Nov 2021,,Canada,OpTic_Texas
Shotzzy,Nov 2021,,United States,OpTic_Texas
Kenny,Jul 2023,,United States,OpTic_Texas
Pred,Jul 2023,,Australia,OpTic_Texas
iLLeY,Aug 2022,Oct 2023,Canada,OpTic_Texas
Ghosty,Feb 2023,Jun 2023,United States,OpTic_Texas
Huke,Jan 2023,Jun 2023,United States,OpTic_Texas
Scump,Nov 2021,Jan 2023,United States,OpTic_Texas
iLLeY,Nov 2021,Aug 2022,Canada,OpTic_Texas
Prolute,May 2022,Aug 2022,United States,OpTic_Texas
General,Nov 2021,Aug 2022,United States,OpTic_Texas
Abuzah,Oct 2023,,Belgium,Seattle_Surge
Huke,Oct 2023,,United States,Seattle_Surge
Breszy,Feb 2024,,France,Seattle_Surge
04,Apr 2024,,United States,Seattle_Surge
iLLeY,Oct 2023,Apr 2024,Canada,Seattle_Surge
Arcitys,Oct 2023,Mar 2024,United States,Seattle_Surge
Accuracy,Sep 2021,Jul 2023,United States,Seattle_Surge
Mack,Sep 2021,Jul 2023,United States,Seattle_Surge
Pred,Sep 2021,Jul 2023,Australia,Seattle_Surge
Sib,Sep 2021,Jul 2023,United States,Seattle_Surge
Gwinn,Feb 2023,Jun 2023,United States,Seattle_Surge
Classic,Mar 2022,Oct 2022,United States,Seattle_Surge
Classic,May 2021,Aug 2021,United States,Seattle_Surge
Nubzy,Jan 2021,Aug 2021,United States,Seattle_Surge
Gunless,Sep 2020,Aug 2021,Canada,Seattle_Surge
Loony,Sep 2020,Aug 2021,United States,Seattle_Surge
Prestinni,Sep 2020,Aug 2021,United States,Seattle_Surge
Octane,Oct 2019,Aug 2021,United States,Seattle_Surge
Decemate,May 2021,May 2021,United States,Seattle_Surge
Pandur,Nov 2019,Sep 2020,United States,Seattle_Surge
Proto,Nov 2019,Sep 2020,United States,Seattle_Surge
Apathy,Oct 2019,Sep 2020,United States,Seattle_Surge
Enable,≈Feb 202,Sep 2020,United States,Seattle_Surge
Slacked,Oct 2019,Sep 2020,United States,Seattle_Surge
Karma,Oct 2019,Jun 2020,Canada,Seattle_Surge
CleanX,Oct 2019,,Denmark,Toronto_Ultra
Insight,Oct 2020,,England,Toronto_Ultra
Scrappy,Apr 2022,,United States,Toronto_Ultra
Envoy,Jul 2023,,United States,Toronto_Ultra
Hicksy,Oct 2021,Jun 2023,England,Toronto_Ultra
Standy,Sep 2022,Mar 2023,United States,Toronto_Ultra
Cammy,Oct 2019,Aug 2022,Scotland,Toronto_Ultra
Bance,Oct 2019,Aug 2022,England,Toronto_Ultra
Methodz,Oct 2019,Nov 2021,United States,Toronto_Ultra
Brack,Oct 2019,Sep 2020,United States,Toronto_Ultra
Classic,Oct 2019,Sep 2020,United States,Toronto_Ultra
Loony,Oct 2019,Sep 2020,United States,Toronto_Ultra
Lucky,Oct 2019,Sep 2020,Spain,Toronto_Ultra
Mayhem,Oct 2019,Sep 2020,Canada,Toronto_Ultra
MettalZ,Oct 2019,Sep 2020,Spain,Toronto_Ultra
Vikul,Jun 2023,,Spain,Florida_Mutineers
Vikul,Sep 2022,,Spain,Florida_Mutineers
Capsidal,Feb 2023,,United States,Florida_Mutineers
FeLo,Feb 2023,,United States,Florida_Mutineers
Brack,Sep 2022,Aug 2023,United States,Florida_Mutineers
Havok,Sep 2022,Jun 2023,United States,Florida_Mutineers
Davpadie,Oct 2021,Jun 2023,United States,Florida_Mutineers
MajorManiak,Sep 2022,Jun 2023,United States,Florida_Mutineers
2ReaL,Jun 2022,Jun 2023,United States,Florida_Mutineers
MajorManiak,Jun 2022,Jun 2023,United States,Florida_Mutineers
Yeez,Jul 2021,Feb 2023,United States,Florida_Mutineers
Owakening,May 2020,Feb 2023,United States,Florida_Mutineers
Skyz,Dec 2019,Aug 2022,United States,Florida_Mutineers
Vivid,Nov 2021,Aug 2022,United States,Florida_Mutineers
Havok,Dec 2019,Aug 2022,United States,Florida_Mutineers
Neptune,Jan 2021,Aug 2022,United States,Florida_Mutineers
Atura,Jan 2020,Aug 2022,United States,Florida_Mutineers
Slacked,Dec 2020,Jun 2022,United States,Florida_Mutineers
Fero,Mar 2020,Nov 2021,United States,Florida_Mutineers
Frosty,Dec 2019,Oct 2021,United States,Florida_Mutineers
Maux,Dec 2019,Sep 2021,United States,Florida_Mutineers
MaNiaC,Dec 2019,Jul 2021,United States,Florida_Mutineers
Prestinni,Dec 2019,Nov 2020,United States,Florida_Mutineers
Skrapz,Oct 2022,,United States,London_Royal_Ravens
Ulisses,Mar 2023,,England,London_Royal_Ravens
Asim,Oct 2022,,United States,London_Royal_Ravens
Nastie,Nov 2021,,Canada,London_Royal_Ravens
PaulEhx,Oct 2022,Jun 2023,England,London_Royal_Ravens
Zer0,Nov 2021,Jun 2023,United States,London_Royal_Ravens
Gismo,Nov 2021,Jun 2023,England,London_Royal_Ravens
Afro,Jan 2021,Jun 2023,England,London_Royal_Ravens
Harry,Jan 2022,Mar 2023,England,London_Royal_Ravens
PaulEhx,Mar 2022,Mar 2023,England,London_Royal_Ravens
PaulEhx,Mar 2021,Oct 2022,United States,London_Royal_Ravens
Zed,Mar 2021,Aug 2022,United States,London_Royal_Ravens
Alexx,Oct 2020,Aug 2022,England,London_Royal_Ravens
Seany,Nov 2019,Mar 2022,England,London_Royal_Ravens
Zaptius,Apr 2021,Aug 2021,Scotland,London_Royal_Ravens
Dylan,Oct 2020,Aug 2021,United States,London_Royal_Ravens
Zer0,Oct 2020,Aug 2021,Northern Ireland,London_Royal_Ravens
Parasite,Feb 2021,Aug 2021,England,London_Royal_Ravens
Zer0,May 2020,May 2021,United States,London_Royal_Ravens
Nastie,Mar 2020,May 2021,England,London_Royal_Ravens
MadCat,Nov 2019,Apr 2021,England,London_Royal_Ravens
Rated,Sep 2019,Mar 2021,England,London_Royal_Ravens
Dylan,Sep 2019,Sep 2020,Wales,London_Royal_Ravens
Skrapz,Sep 2019,Sep 2020,Northern Ireland,London_Royal_Ravens
wuskin,Sep 2019,Sep 2020,England,London_Royal_Ravens
Jurd,Sep 2019,Sep 2020,England,London_Royal_Ravens
Temp,Nov 2021,,United States,Paris_Legion
oJohnny,Jun 2022,,United States,Paris_Legion
Jimbo,Mar 2022,,Canada,Paris_Legion
John,Nov 2021,,United States,Paris_Legion
GRVTY,Mar 2022,Sep 2022,United States,Paris_Legion
FeLo,Nov 2021,Aug 2022,United States,Paris_Legion
Decemate,Nov 2021,Aug 2022,United States,Paris_Legion
Theory,Jan 2021,Aug 2022,United States,Paris_Legion
Zaptius,May 2021,Aug 2022,United States,Paris_Legion
Temp,Apr 2021,Mar 2022,United States,Paris_Legion
AquA,Dec 2020,Feb 2022,United States,Paris_Legion
Skrapz,Dec 2020,Sep 2021,England,Paris_Legion
Classic,Dec 2020,Aug 2021,United States,Paris_Legion
Fire,Dec 2020,Aug 2021,United States,Paris_Legion
Breszy,Oct 2019,Aug 2021,France,Paris_Legion
Denz,Oct 2019,Aug 2021,Australia,Paris_Legion
Louqa,Oct 2019,May 2021,Australia,Paris_Legion
Phantomz,Oct 2019,Apr 2021,United States,Paris_Legion
Shockz,Oct 2019,Sep 2020,Australia,Paris_Legion
Zed,Oct 2019,Sep 2020,England,Paris_Legion
KiSMET,Oct 2019,Sep 2020,United States,Paris_Legion
Drazah,Jul 2020,,United States,OpTic_Gaming_Los_Angeles
Kuavo,Oct 2019,,United States,OpTic_Gaming_Los_Angeles
SlasheR,Oct 2019,,United States,OpTic_Gaming_Los_Angeles
TJHaLy,Oct 2019,,United States,OpTic_Gaming_Los_Angeles
Hollow,Jul 2020,Nov 2020,United States,OpTic_Gaming_Los_Angeles
Chino,Dec 2019,Nov 2020,United States,OpTic_Gaming_Los_Angeles
Goonjar,Dec 2019,Nov 2020,Canada,OpTic_Gaming_Los_Angeles
Dashy,Oct 2019,Nov 2020,Canada,OpTic_Gaming_Los_Angeles
JKap,Oct 2019,Sep 2020,United States,OpTic_Gaming_Los_Angeles
iLLeY,Oct 2019,,Canada,Dallas_Empire
Shotzzy,Oct 2019,,United States,Dallas_Empire
C6,Oct 2019,,United States,Dallas_Empire
Vivid,May 2021,,United States,Dallas_Empire
FeLo,Jan 2021,Nov 2021,United States,Dallas_Empire
Huke,Oct 2019,Nov 2021,United States,Dallas_Empire
Tisch,Dec 2019,Oct 2021,United States,Dallas_Empire
Clayster,Oct 2019,Oct 2021,United States,Dallas_Empire
Tommey,Nov 2019,Oct 2021,England,Dallas_Empire
MuTeX,Nov 2019,May 2021,Canada,Dallas_Empire
